Category,Country,Customer ID,Order,Product ID,Return Status,Review Rating,Shipping Method,Discount,Price,Profit,Quantity,Returned Quantity,Shipping Cost,Total Sales
Sports,Canada,7262,11/10/2023,685,No,1,Standard,8.00%,$932.0,$255,1,3,$28.4,$1K
Electronics,UK,1266,6/19/2023,560,No,5,Next Day,28.00%,$436.8,$349,10,0,$16.2,$3K
Electronics,UK,3793,12/09/2023,630,Yes,3,Express,8.00%,$930.8,$360,3,2,$35.6,$3K
Sports,France,2526,8/26/2023,193,No,1,Standard,18.00%,$11.7,$5,2,2,$27.4,$0K
Electronics,USA,3355,6/26/2023,836,Yes,2,Standard,38.00%,$554.1,$482,5,2,$19.4,$2K
Clothing,USA,2171,7/19/2023,764,No,2,Next Day,6.00%,$839.8,"$1,558",10,1,$9.2,$8K
Electronics,UK,8861,12/03/2023,708,No,2,Next Day,15.00%,$603.1,$347,6,0,$42.8,$3K
Home,UK,5045,07/03/2023,360,Yes,4,Standard,29.00%,$856.0,$600,5,1,$7.9,$3K
Electronics,UK,5169,6/19/2023,10,No,4,Express,7.00%,$193.6,$425,9,5,$29.1,$2K
Clothing,Germany,5765,07/01/2023,724,No,3,Express,34.00%,$269.3,$192,6,1,$27.8,$1K
Home,France,5161,3/26/2023,278,Yes,2,Next Day,28.00%,$102.0,$73,6,1,$42.2,$0K
Clothing,USA,5469,04/10/2023,755,No,1,Next Day,18.00%,$105.6,$113,5,0,$31.7,$0K
Sports,UK,5179,02/11/2023,805,No,2,Next Day,29.00%,$707.9,$433,4,5,$47.1,$2K
Home,Canada,3144,5/20/2023,600,Yes,5,Next Day,34.00%,$97.1,$43,3,4,$39.2,$0K
Sports,Germany,9762,5/22/2023,71,Yes,5,Standard,17.00%,$741.0,$158,2,2,$34.7,$1K
Sports,Canada,8326,9/25/2023,473,No,4,Express,33.00%,$751.6,$401,4,2,$14.6,$2K
Books,UK,9117,01/03/2023,601,Yes,1,Next Day,25.00%,$70.5,$16,3,2,$25.8,$0K
Books,UK,1804,4/19/2023,397,Yes,3,Next Day,19.00%,$125.3,$72,7,3,$30.3,$1K
Books,France,8578,05/08/2023,315,Yes,5,Standard,34.00%,$314.1,$430,10,0,$6.5,$2K
Books,UK,9872,12/21/2023,706,No,5,Next Day,26.00%,$73.8,$56,5,3,$7.6,$0K
Home,USA,7970,11/15/2023,487,Yes,1,Next Day,13.00%,$818.1,$434,3,4,$15.9,$2K
Clothing,USA,2503,11/12/2023,552,Yes,4,Next Day,6.00%,$467.7,$50,1,1,$3.3,$0K
Home,USA,3065,11/04/2023,88,Yes,2,Standard,33.00%,$20.0,$14,6,0,$34.3,$0K
Home,Canada,5551,09/06/2023,175,No,5,Express,37.00%,$765.8,$284,5,3,$24.2,$2K
Clothing,Germany,8431,2/24/2023,601,No,4,Next Day,24.00%,$421.4,$59,1,3,$44.9,$0K
Books,France,9566,5/15/2023,850,Yes,1,Next Day,26.00%,$445.1,$240,3,3,$16.7,$1K
Clothing,France,6045,01/02/2023,678,No,4,Express,19.00%,$860.1,$594,4,4,$10.1,$3K
Sports,Germany,4711,12/25/2023,538,Yes,3,Express,39.00%,$458.7,$79,1,2,$47.8,$0K
Home,UK,5970,6/18/2023,846,No,1,Next Day,24.00%,$802.4,"$1,085",7,3,$34.1,$4K
Home,Canada,1502,7/17/2023,73,No,4,Next Day,30.00%,$407.5,$719,9,5,$11.1,$3K
Clothing,UK,1409,7/16/2023,778,No,5,Express,28.00%,$88.5,$155,10,2,$3.0,$1K
Home,France,2737,04/01/2023,917,No,3,Express,24.00%,$355.4,$440,7,2,$4.9,$2K
Clothing,UK,4026,03/05/2023,116,Yes,5,Next Day,14.00%,$74.7,$112,6,3,$34.4,$0K
Electronics,Canada,4732,2/17/2023,977,No,5,Next Day,17.00%,$215.5,$252,10,2,$10.5,$2K
Clothing,France,1783,10/23/2023,756,No,2,Express,23.00%,$762.6,"$1,109",8,4,$9.8,$5K
Books,Canada,9874,06/04/2023,710,No,4,Express,29.00%,$248.1,$57,3,4,$35.6,$1K
Home,Canada,9870,12/12/2023,848,No,3,Standard,22.00%,$109.1,$70,5,4,$8.0,$0K
Home,Canada,6525,11/02/2023,432,No,3,Next Day,33.00%,$345.7,$68,1,5,$4.8,$0K
Electronics,USA,8410,7/18/2023,449,No,4,Next Day,38.00%,$577.6,$345,4,5,$6.6,$1K
Electronics,USA,4397,02/09/2023,851,Yes,2,Standard,12.00%,$262.6,$197,6,2,$30.9,$1K
Books,UK,8253,10/03/2023,100,No,5,Next Day,25.00%,$773.5,$709,7,0,$7.9,$4K
Electronics,Germany,6238,5/18/2023,985,No,1,Standard,21.00%,$992.3,"$1,877",10,5,$31.4,$8K
Electronics,Germany,9299,2/19/2023,178,Yes,5,Next Day,27.00%,$652.1,$892,7,3,$13.6,$3K
Sports,Germany,7618,2/14/2023,756,No,3,Express,23.00%,$686.3,$543,8,0,$37.5,$4K
Home,France,4985,9/14/2023,798,No,2,Standard,31.00%,$168.9,$211,9,4,$28.9,$1K
Home,UK,1968,6/27/2023,660,No,2,Express,33.00%,$830.7,$831,5,5,$29.8,$3K
Clothing,France,5881,05/04/2023,148,Yes,1,Express,19.00%,$64.8,$5,1,1,$41.6,$0K
Sports,Germany,1661,5/26/2023,911,Yes,3,Express,11.00%,$915.0,$775,8,1,$41.9,$7K
Home,UK,8987,01/03/2023,424,Yes,4,Express,33.00%,$333.6,$216,5,1,$9.8,$1K
Clothing,France,8738,7/18/2023,289,Yes,1,Standard,18.00%,$264.6,$606,10,2,$24.7,$2K
Books,Germany,8098,7/18/2023,962,Yes,4,Standard,29.00%,$114.4,$71,7,2,$34.7,$1K
Electronics,USA,6680,12/14/2023,266,Yes,1,Standard,7.00%,$548.1,"$1,456",10,5,$21.4,$5K
Home,Germany,8897,01/05/2023,698,No,5,Standard,39.00%,$63.2,$8,1,5,$43.2,$0K
Books,UK,6196,6/19/2023,640,Yes,4,Express,15.00%,$494.6,$64,1,2,$4.8,$0K
Home,Germany,4633,4/15/2023,545,No,4,Standard,28.00%,$815.8,$313,2,0,$26.1,$1K
Sports,USA,1687,12/08/2023,544,No,1,Express,24.00%,$760.5,$686,7,0,$39.8,$4K
Clothing,Canada,3165,6/20/2023,715,No,4,Next Day,13.00%,$108.3,$150,7,0,$47.8,$1K
Electronics,France,7694,09/11/2023,245,No,1,Next Day,35.00%,$488.4,$177,3,5,$16.3,$1K
Books,Canada,5479,3/18/2023,152,Yes,3,Express,20.00%,$875.8,$372,2,4,$45.8,$1K
Electronics,France,6326,11/01/2023,676,Yes,3,Standard,14.00%,$701.1,$398,5,4,$12.5,$3K
Clothing,Germany,3225,9/13/2023,511,No,1,Standard,9.00%,$68.5,$90,5,2,$6.2,$0K
Electronics,UK,9271,8/26/2023,460,Yes,1,Standard,36.00%,$201.0,$39,2,4,$44.4,$0K
Electronics,Canada,2439,9/28/2023,883,Yes,1,Standard,34.00%,$925.3,$287,4,1,$4.7,$2K
Electronics,USA,3961,2/22/2023,184,Yes,5,Express,39.00%,$667.6,$515,6,5,$49.6,$2K
Home,Germany,7671,9/21/2023,29,No,5,Next Day,14.00%,$782.5,$522,3,2,$27.0,$2K
Clothing,USA,8015,10/15/2023,803,No,2,Express,40.00%,$554.1,$234,4,4,$37.9,$1K
Home,Canada,9109,06/04/2023,129,Yes,2,Standard,27.00%,$117.7,$146,8,3,$10.5,$1K
Clothing,UK,5530,12/19/2023,129,No,3,Next Day,35.00%,$490.8,$218,3,4,$29.2,$1K
Home,France,3401,3/13/2023,933,Yes,3,Express,34.00%,$533.9,$206,5,5,$39.9,$2K
Electronics,UK,2140,05/12/2023,54,No,2,Express,34.00%,$451.0,$223,3,1,$41.5,$1K
Electronics,France,4708,10/22/2023,902,Yes,2,Standard,12.00%,$979.2,$221,1,4,$15.7,$1K
Electronics,France,2028,4/14/2023,551,No,1,Express,27.00%,$295.1,$398,8,1,$43.1,$2K
Clothing,UK,4275,8/21/2023,489,Yes,2,Next Day,14.00%,$261.6,$160,3,3,$46.3,$1K
Home,Germany,3981,03/05/2023,757,Yes,3,Next Day,8.00%,$452.9,$485,6,1,$22.2,$2K
Books,Germany,5686,06/03/2023,274,No,4,Next Day,38.00%,$524.6,$444,9,5,$24.8,$3K
Electronics,USA,4942,09/05/2023,336,Yes,1,Express,16.00%,$326.9,$301,4,2,$45.2,$1K
Home,Canada,5778,10/04/2023,389,Yes,1,Express,39.00%,$989.6,$439,5,3,$43.9,$3K
Sports,USA,7961,12/24/2023,618,No,4,Next Day,14.00%,$124.4,$99,8,0,$18.7,$1K
Clothing,France,6660,7/23/2023,43,Yes,4,Standard,32.00%,$981.6,$717,9,4,$31.3,$6K
